batch,replicate,DSB,n_pairs,mean_af_t0,mean_af_t120,p_value,significance
4,Rep 1,DSB1,24,0.041666666666666664,0.041666666666666664,1,ns
4,Rep 1,DSB2,2,0.5,0.5,0.9999999999999998,ns
4,Rep 1,TRANS,26,0.038461538461538464,0.038461538461538464,1,ns
4,Rep 2,DSB1,24,0.041666666666666664,0.041666666666666664,0.9999999999999996,ns
4,Rep 2,DSB2,2,0.5,0.5,0.9999999999999998,ns
4,Rep 2,TRANS,24,0.041666666666666664,0.041666666666666664,1,ns
6,Rep 1,DSB1,24,0.041666666666666664,0.041666666666666664,0.9999999999999998,ns
6,Rep 1,DSB2,2,0.5,0.5,0.9999999999999999,ns
6,Rep 1,TRANS,24,0.041666666666666664,0.04166666666666667,0.9999999999999999,ns
8,Rep 1,DSB1,24,0.041666666666666664,0.041666666666666664,0.9999999999999999,ns
8,Rep 1,DSB2,2,0.5,0.5,1,ns
8,Rep 1,TRANS,24,0.041666666666666664,0.041666666666666664,1,ns
