DSB,chromosome,n_regions,cor_PD_3C,cor_PD_4C,cor_3C_4C,mean_abs_signal,mean_pair_corr,Corr_Enrichment,repair_mode
ALL,CHRI,9,NA,NA,NA,NA,NA,NA,All contexts
ALL,CHRII,26,NA,NA,NA,NA,NA,NA,All contexts
ALL,CHRIII,8,NA,NA,NA,NA,NA,NA,All contexts
ALL,CHRIV,48,NA,NA,NA,NA,NA,NA,All contexts
ALL,CHRIX,16,NA,NA,NA,NA,NA,NA,All contexts
ALL,CHRM,8,NA,NA,NA,NA,NA,NA,All contexts
ALL,CHRV,23,NA,NA,NA,NA,NA,NA,All contexts
ALL,CHRVI,8,NA,NA,NA,NA,NA,NA,All contexts
ALL,CHRVII,50,NA,NA,NA,NA,NA,NA,All contexts
ALL,CHRVIII,19,NA,NA,NA,NA,NA,NA,All contexts
ALL,CHRX,22,NA,NA,NA,NA,NA,NA,All contexts
ALL,CHRXI,19,NA,NA,NA,NA,NA,NA,All contexts
ALL,CHRXII,52,NA,NA,NA,NA,NA,NA,All contexts
ALL,CHRXIII,37,NA,NA,NA,NA,NA,NA,All contexts
ALL,CHRXIV,33,NA,NA,NA,NA,NA,NA,All contexts
ALL,CHRXV,47,NA,NA,NA,NA,NA,NA,All contexts
ALL,CHRXVI,32,NA,NA,NA,NA,NA,NA,All contexts
DSB1,CHRIII,6,NA,NA,NA,NA,NA,NA,All contexts
DSB1,CHRIV,14,NA,NA,NA,NA,NA,NA,All contexts
DSB1,CHRVII,8,NA,NA,NA,NA,NA,NA,All contexts
DSB1,CHRXII,8,NA,NA,NA,NA,NA,NA,All contexts
DSB1,CHRXV,10,NA,NA,NA,NA,NA,NA,All contexts
DSB2,CHRIII,6,NA,NA,NA,NA,NA,NA,All contexts
DSB2,CHRIV,14,NA,NA,NA,NA,NA,NA,All contexts
DSB2,CHRVII,8,NA,NA,NA,NA,NA,NA,All contexts
DSB2,CHRXII,8,NA,NA,NA,NA,NA,NA,All contexts
DSB2,CHRXV,10,NA,NA,NA,NA,NA,NA,All contexts
TRANS,CHR12,4,NA,NA,NA,NA,NA,NA,All contexts
TRANS,CHR15,5,NA,NA,NA,NA,NA,NA,All contexts
TRANS,CHR3,4,NA,NA,NA,NA,NA,NA,All contexts
TRANS,CHR4,7,NA,NA,NA,NA,NA,NA,All contexts
TRANS,CHR7,5,NA,NA,NA,NA,NA,NA,All contexts
TRANS,CHRIII,6,NA,NA,NA,NA,NA,NA,All contexts
TRANS,CHRIV,14,NA,NA,NA,NA,NA,NA,All contexts
TRANS,CHRVII,8,NA,NA,NA,NA,NA,NA,All contexts
TRANS,CHRXII,8,NA,NA,NA,NA,NA,NA,All contexts
TRANS,CHRXV,10,NA,NA,NA,NA,NA,NA,All contexts
DSB1,CHRIII,3,NA,NA,NA,NA,NA,NA,Cut (Not SSA)
DSB1,CHRIV,7,NA,NA,NA,NA,NA,NA,Cut (Not SSA)
DSB1,CHRVII,4,NA,NA,NA,NA,NA,NA,Cut (Not SSA)
DSB1,CHRXII,4,NA,NA,NA,NA,NA,NA,Cut (Not SSA)
DSB1,CHRXV,5,NA,NA,NA,NA,NA,NA,Cut (Not SSA)
DSB2,CHRIII,3,NA,NA,NA,NA,NA,NA,Cut (Not SSA)
DSB2,CHRIV,7,NA,NA,NA,NA,NA,NA,Cut (Not SSA)
DSB2,CHRVII,4,NA,NA,NA,NA,NA,NA,Cut (Not SSA)
DSB2,CHRXII,4,NA,NA,NA,NA,NA,NA,Cut (Not SSA)
DSB2,CHRXV,5,NA,NA,NA,NA,NA,NA,Cut (Not SSA)
TRANS,CHR12,4,NA,NA,NA,NA,NA,NA,Cut (Not SSA)
TRANS,CHR15,5,NA,NA,NA,NA,NA,NA,Cut (Not SSA)
TRANS,CHR3,4,NA,NA,NA,NA,NA,NA,Cut (Not SSA)
TRANS,CHR4,7,NA,NA,NA,NA,NA,NA,Cut (Not SSA)
TRANS,CHR7,5,NA,NA,NA,NA,NA,NA,Cut (Not SSA)
TRANS,CHRIII,3,NA,NA,NA,NA,NA,NA,Cut (Not SSA)
TRANS,CHRIV,7,NA,NA,NA,NA,NA,NA,Cut (Not SSA)
TRANS,CHRVII,4,NA,NA,NA,NA,NA,NA,Cut (Not SSA)
TRANS,CHRXII,4,NA,NA,NA,NA,NA,NA,Cut (Not SSA)
TRANS,CHRXV,5,NA,NA,NA,NA,NA,NA,Cut (Not SSA)
DSB1,CHRIII,3,NA,NA,NA,NA,NA,NA,Cut/Repaired (SSA)
DSB1,CHRIV,7,NA,NA,NA,NA,NA,NA,Cut/Repaired (SSA)
DSB1,CHRVII,4,NA,NA,NA,NA,NA,NA,Cut/Repaired (SSA)
DSB1,CHRXII,4,NA,NA,NA,NA,NA,NA,Cut/Repaired (SSA)
DSB1,CHRXV,5,NA,NA,NA,NA,NA,NA,Cut/Repaired (SSA)
DSB2,CHRIII,3,NA,NA,NA,NA,NA,NA,Cut/Repaired (SSA)
DSB2,CHRIV,7,NA,NA,NA,NA,NA,NA,Cut/Repaired (SSA)
DSB2,CHRVII,4,NA,NA,NA,NA,NA,NA,Cut/Repaired (SSA)
DSB2,CHRXII,4,NA,NA,NA,NA,NA,NA,Cut/Repaired (SSA)
DSB2,CHRXV,5,NA,NA,NA,NA,NA,NA,Cut/Repaired (SSA)
TRANS,CHRIII,3,NA,NA,NA,NA,NA,NA,Cut/Repaired (SSA)
TRANS,CHRIV,7,NA,NA,NA,NA,NA,NA,Cut/Repaired (SSA)
TRANS,CHRVII,4,NA,NA,NA,NA,NA,NA,Cut/Repaired (SSA)
TRANS,CHRXII,4,NA,NA,NA,NA,NA,NA,Cut/Repaired (SSA)
TRANS,CHRXV,5,NA,NA,NA,NA,NA,NA,Cut/Repaired (SSA)
ALL,CHRI,9,NA,NA,NA,NA,NA,NA,Unknown repair context
ALL,CHRII,26,NA,NA,NA,NA,NA,NA,Unknown repair context
ALL,CHRIII,8,NA,NA,NA,NA,NA,NA,Unknown repair context
ALL,CHRIV,48,NA,NA,NA,NA,NA,NA,Unknown repair context
ALL,CHRIX,16,NA,NA,NA,NA,NA,NA,Unknown repair context
ALL,CHRM,8,NA,NA,NA,NA,NA,NA,Unknown repair context
ALL,CHRV,23,NA,NA,NA,NA,NA,NA,Unknown repair context
ALL,CHRVI,8,NA,NA,NA,NA,NA,NA,Unknown repair context
ALL,CHRVII,50,NA,NA,NA,NA,NA,NA,Unknown repair context
ALL,CHRVIII,19,NA,NA,NA,NA,NA,NA,Unknown repair context
ALL,CHRX,22,NA,NA,NA,NA,NA,NA,Unknown repair context
ALL,CHRXI,19,NA,NA,NA,NA,NA,NA,Unknown repair context
ALL,CHRXII,52,NA,NA,NA,NA,NA,NA,Unknown repair context
ALL,CHRXIII,37,NA,NA,NA,NA,NA,NA,Unknown repair context
ALL,CHRXIV,33,NA,NA,NA,NA,NA,NA,Unknown repair context
ALL,CHRXV,47,NA,NA,NA,NA,NA,NA,Unknown repair context
ALL,CHRXVI,32,NA,NA,NA,NA,NA,NA,Unknown repair context
