DSB,repair_mode,chromosome,n_regions,mean_3C_TRANS_log2FC,mean_4C_log2FC,mean_PD_log2FC,Mobility_Index,Mobility_Rank
ALL,Unknown repair context,CHRI,9,0,NA,0,0,1
ALL,Unknown repair context,CHRII,26,0,NA,0,0,1
ALL,Unknown repair context,CHRIII,8,0,NA,0,0,1
ALL,Unknown repair context,CHRIV,48,0,NA,0,0,1
ALL,Unknown repair context,CHRIX,16,0,NA,0,0,1
ALL,Unknown repair context,CHRM,8,0,NA,0,0,1
ALL,Unknown repair context,CHRV,23,0,NA,0,0,1
ALL,Unknown repair context,CHRVI,8,0,NA,0,0,1
ALL,Unknown repair context,CHRVII,50,0,NA,0,0,1
ALL,Unknown repair context,CHRVIII,19,0,NA,0,0,1
ALL,Unknown repair context,CHRX,22,0,NA,0,0,1
ALL,Unknown repair context,CHRXI,19,0,NA,0,0,1
ALL,Unknown repair context,CHRXII,52,0,NA,0,0,1
ALL,Unknown repair context,CHRXIII,37,0,NA,0,0,1
ALL,Unknown repair context,CHRXIV,33,0,NA,0,0,1
ALL,Unknown repair context,CHRXV,47,0,NA,0,0,1
ALL,Unknown repair context,CHRXVI,32,0,NA,0,0,1
DSB1,Cut (Not SSA),CHRIII,3,0,NA,-0.23415625855369032,0,1
DSB1,Cut (Not SSA),CHRIV,7,0,NA,-0.10520565493489811,0,1
DSB1,Cut (Not SSA),CHRVII,4,0,NA,-0.30664994977308657,0,1
DSB1,Cut (Not SSA),CHRXII,4,0,NA,-0.042199896962539715,0,1
DSB1,Cut (Not SSA),CHRXV,5,0,NA,-0.046065656143913614,0,1
DSB1,Cut/Repaired (SSA),CHRIII,3,0,NA,0.1177842575895993,0,1
DSB1,Cut/Repaired (SSA),CHRIV,7,0,NA,0.48952779865967627,0,1
DSB1,Cut/Repaired (SSA),CHRVII,4,0,NA,0.34719426050873786,0,1
DSB1,Cut/Repaired (SSA),CHRXII,4,0,NA,0.4616199867168967,0,1
DSB1,Cut/Repaired (SSA),CHRXV,5,0,NA,0.44971201263639043,0,1
DSB2,Cut (Not SSA),CHRIII,3,0,NA,-0.35166784027686854,0,1
DSB2,Cut (Not SSA),CHRIV,7,0,NA,-0.5256081832705982,0,1
DSB2,Cut (Not SSA),CHRVII,4,0,NA,-0.8122495219396838,0,1
DSB2,Cut (Not SSA),CHRXII,4,0,NA,-0.6107485044711092,0,1
DSB2,Cut (Not SSA),CHRXV,5,0,NA,-1.0697739197074005,0,1
DSB2,Cut/Repaired (SSA),CHRIII,3,0,NA,0.5708171939744263,0,1
DSB2,Cut/Repaired (SSA),CHRIV,7,0,NA,3.5319377924298627,0,1
DSB2,Cut/Repaired (SSA),CHRVII,4,0,NA,-0.5402754219599073,0,1
DSB2,Cut/Repaired (SSA),CHRXII,4,0,NA,3.8225577404008644,0,1
DSB2,Cut/Repaired (SSA),CHRXV,5,0,NA,4.420710038741308,0,1
TRANS,Cut (Not SSA),CHR12,4,-0.6826599838165534,NA,0,-0.7812262284385675,10
TRANS,Cut (Not SSA),CHR15,5,-0.3230268392162926,NA,0,-0.4091108992465227,9
TRANS,Cut (Not SSA),CHR3,4,0.06039202434203597,NA,0,-0.012384293888625683,3
TRANS,Cut (Not SSA),CHR4,7,0.5284231859754227,NA,0,0.47189134198728006,2
TRANS,Cut (Not SSA),CHR7,5,1.1404806247895556,NA,0,1.105192134053918,1
TRANS,Cut (Not SSA),CHRIII,3,0,NA,0.3429233762261089,-0.07487241089349644,4
TRANS,Cut (Not SSA),CHRIV,7,0,NA,0.09076713091507195,-0.07487241089349644,4
TRANS,Cut (Not SSA),CHRVII,4,0,NA,0.26770904395555495,-0.07487241089349644,4
TRANS,Cut (Not SSA),CHRXII,4,0,NA,0.369447222045084,-0.07487241089349644,4
TRANS,Cut (Not SSA),CHRXV,5,0,NA,2.032604601489483,-0.07487241089349644,4
TRANS,Cut/Repaired (SSA),CHRIII,3,0,NA,1.3749704879106317,0,1
TRANS,Cut/Repaired (SSA),CHRIV,7,0,NA,0.4907911393100877,0,1
TRANS,Cut/Repaired (SSA),CHRVII,4,0,NA,0.6531354085963174,0,1
TRANS,Cut/Repaired (SSA),CHRXII,4,0,NA,0.829831137670858,0,1
TRANS,Cut/Repaired (SSA),CHRXV,5,0,NA,1.9790569923288333,0,1
