batch,time_point,DSB,Total_Counts,Cis_Counts,Trans_Counts,A_to_B_Counts,C_to_D_Counts,A_to_D_Counts,C_to_B_Counts,Percent_Cis,Percent_Trans,Percent_A_to_B,Percent_C_to_D,Percent_A_to_D,Percent_C_to_B
6,0,DSB1,1297290.8557215894,1297290.8557215894,0,1297290.8557215894,0,0,0,100,0,100,0,0,0
6,0,DSB2,1069890.7272727273,1069890.7272727273,0,0,1069890.7272727273,0,0,100,0,0,100,0,0
6,0,TRANS,8432.344086021505,0,8432.344086021505,0,0,4412.010752688172,4020.333333333333,0,100,0,0,52.3224705690327,47.6775294309673
6,180,DSB1,1105221.1800447323,1105221.1800447323,0,1105221.1800447323,0,0,0,100,0,100,0,0,0
6,180,DSB2,2473299.5,2473299.5,0,0,2473299.5,0,0,100,0,0,100,0,0
6,180,TRANS,154290.50326797387,0,154290.50326797387,0,0,107966.49673202615,46324.006535947716,0,100,0,0,69.97611288136669,30.02388711863331
8,0,DSB1,819324.3294051627,819324.3294051627,0,819324.3294051627,0,0,0,100.00000000000001,0,100.00000000000001,0,0,0
8,0,DSB2,838701.7999999999,838701.7999999999,0,0,838701.7999999999,0,0,100.00000000000001,0,0,100.00000000000001,0,0
8,0,TRANS,3535.25,0,3535.25,0,0,1925,1610.25,0,100,0,0,54.451594653843436,45.548405346156564
8,180,DSB1,781242.1341400438,781242.1341400438,0,781242.1341400438,0,0,0,100,0,100,0,0,0
8,180,DSB2,1820660.3333333333,1820660.3333333333,0,0,1820660.3333333333,0,0,100,0,0,100,0,0
8,180,TRANS,236684.1,0,236684.1,0,0,161536.38,75147.72,0,100,0,0,68.24978103725599,31.75021896274401
