batch,time_point,replicate,DSB,repeat,combo,Total_Cuttable,BG_Uncuttable,Corrected
6,0,1,DSB1,INTACT,A_to_B,879262.2005490913,18131.294025362793,861130.9065237285
6,0,1,DSB1,SSA,A_to_B,902159.6631016043,465999.71390374337,436159.94919786096
6,0,1,DSB2,INTACT,C_to_D,1068932.1212121213,13096.39393939394,1055835.7272727273
6,0,1,DSB2,SSA,C_to_D,24929,10874,14055
6,0,1,TRANS,INTACT,A_to_D,3179.7096774193546,391.0322580645161,2788.6774193548385
6,0,1,TRANS,INTACT,C_to_B,1926.1612903225805,99.16129032258064,1826.9999999999998
6,0,1,TRANS,SSA,A_to_D,2030.0000000000002,406.6666666666667,1623.3333333333335
6,0,1,TRANS,SSA,C_to_B,2253.3333333333335,60,2193.3333333333335
6,180,1,DSB1,INTACT,A_to_B,704968.6722689075,32551.051693404635,672417.6205755029
6,180,1,DSB1,SSA,A_to_B,479129.9723593723,46326.412890142834,432803.5594692295
6,180,1,DSB2,INTACT,C_to_D,1446536.375,28899.875,1417636.5
6,180,1,DSB2,SSA,C_to_D,1119621,63958,1055663
6,180,1,TRANS,INTACT,A_to_D,29589.666666666668,306.11111111111114,29283.55555555556
6,180,1,TRANS,INTACT,C_to_B,15556.88888888889,87.00000000000001,15469.88888888889
6,180,1,TRANS,SSA,A_to_D,79065.88235294117,382.94117647058823,78682.94117647059
6,180,1,TRANS,SSA,C_to_B,30930.58823529412,76.47058823529413,30854.117647058825
8,0,1,DSB1,INTACT,A_to_B,362788.65247715253,10993.27368927369,351795.37878787884
8,0,1,DSB1,SSA,A_to_B,938104.074074074,470575.1234567901,467528.95061728393
8,0,1,DSB2,INTACT,C_to_D,836693.6,2820.8,833872.7999999999
8,0,1,DSB2,SSA,C_to_D,6453,1624,4829
8,0,1,TRANS,INTACT,A_to_D,2091.625,235.625,1856
8,0,1,TRANS,INTACT,C_to_B,1544.25,29,1515.25
8,0,1,TRANS,SSA,A_to_D,86,17,69
8,0,1,TRANS,SSA,C_to_B,98,3,95
8,180,1,DSB1,INTACT,A_to_B,285305.4730652504,15218.199165402126,270087.2738998482
8,180,1,DSB1,SSA,A_to_B,575317.5077053885,64162.6474651929,511154.8602401956
8,180,1,DSB2,INTACT,C_to_D,704637.3333333333,7020,697617.3333333333
8,180,1,DSB2,SSA,C_to_D,1157716,34673,1123043
8,180,1,TRANS,INTACT,A_to_D,13846.919999999998,210.54,13636.379999999997
8,180,1,TRANS,INTACT,C_to_B,5273.36,33.64,5239.719999999999
8,180,1,TRANS,SSA,A_to_D,149184,1284,147900
8,180,1,TRANS,SSA,C_to_B,70098,190,69908
