batch,time_point,replicate,DSB,repeat,Cis_Counts_4,Trans_Counts_4,Uncuttable_CIS,Uncuttable_TRANS,Percent_Cis_of_NO_CUT,Percent_Trans_of_NO_CUT
6,0,1,DSB1,INTACT,1193579,0,23997,NA,4973.86756677918,NA
6,0,1,DSB1,SSA,44570,0,15119,NA,294.7946292744229,NA
6,0,1,DSB2,INTACT,1741835,0,21258,NA,8193.785868849374,NA
6,0,1,DSB2,SSA,35803,0,10877,NA,329.16245288222854,NA
6,0,1,TRANS,INTACT,0,6013,NA,524,NA,1147.5190839694656
6,0,1,TRANS,SSA,0,1434,NA,140,NA,1024.2857142857142
6,180,1,DSB1,INTACT,504314,0,22097,NA,2282.2736118025073,NA
6,180,1,DSB1,SSA,1045209,0,91176,NA,1146.3641747828376,NA
6,180,1,DSB2,INTACT,575788,0,11308,NA,5091.8641669614435,NA
6,180,1,DSB2,SSA,1183597,0,64040,NA,1848.2151780137415,NA
6,180,1,TRANS,INTACT,0,42426,NA,366,NA,11591.803278688525
6,180,1,TRANS,SSA,0,187826,NA,781,NA,24049.423815620998
8,0,1,DSB1,INTACT,459596,0,13469,NA,3412.2503526616674,NA
8,0,1,DSB1,SSA,24128,0,8035,NA,300.28624766645925,NA
8,0,1,DSB2,INTACT,1049398,0,3550,NA,29560.50704225352,NA
8,0,1,DSB2,SSA,8077,0,1624,NA,497.35221674876846,NA
8,0,1,TRANS,INTACT,0,1080,NA,73,NA,1479.4520547945206
8,0,1,TRANS,SSA,0,204,NA,20,NA,1020
8,180,1,DSB1,INTACT,234518,0,11814,NA,1985.0854917894023,NA
8,180,1,DSB1,SSA,1277453,0,127246,NA,1003.9238954466152,NA
8,180,1,DSB2,INTACT,533746,0,5283,NA,10103.085368162028,NA
8,180,1,DSB2,SSA,1192422,0,34704,NA,3435.978561549101,NA
8,180,1,TRANS,INTACT,0,33412,NA,421,NA,7936.342042755345
8,180,1,TRANS,SSA,0,220881,NA,1474,NA,14985.142469470828
