batch,time_point,replicate,DSB,repeat,Spike_Counts,Spike_Ref,NF,NF_reason
6,0,1,DSB1,INTACT,7649,5788,0.7567002222512746,ok
6,0,1,DSB1,SSA,187,5764.5,30.82620320855615,ok
6,0,1,DSB2,INTACT,33,20.5,0.6212121212121212,ok
6,0,1,DSB2,SSA,0,18,1,no_spike_in_sample
6,0,1,TRANS,INTACT,31,29,0.9354838709677419,ok
6,0,1,TRANS,SSA,9,30,3.3333333333333335,ok
6,180,1,DSB1,INTACT,3927,5788,1.4738986503692386,ok
6,180,1,DSB1,SSA,11342,5764.5,0.5082436959971787,ok
6,180,1,DSB2,INTACT,8,20.5,2.5625,ok
6,180,1,DSB2,SSA,18,18,1,ok
6,180,1,TRANS,INTACT,27,29,1.0740740740740742,ok
6,180,1,TRANS,SSA,51,30,0.5882352941176471,ok
8,0,1,DSB1,INTACT,2079,1698.5,0.816979316979317,ok
8,0,1,DSB1,SSA,81,4745,58.58024691358025,ok
8,0,1,DSB2,INTACT,5,4,0.8,ok
8,0,1,DSB2,SSA,0,33,1,no_spike_in_sample
8,0,1,TRANS,INTACT,4,14.5,3.625,ok
8,0,1,TRANS,SSA,0,125,1,no_spike_in_sample
8,180,1,DSB1,INTACT,1318,1698.5,1.2886949924127467,ok
8,180,1,DSB1,SSA,9409,4745,0.5043043894143905,ok
8,180,1,DSB2,INTACT,3,4,1.3333333333333333,ok
8,180,1,DSB2,SSA,33,33,1,ok
8,180,1,TRANS,INTACT,25,14.5,0.58,ok
8,180,1,TRANS,SSA,125,125,1,ok
