batch,time_point,replicate,DSB,repeat,Total_Counts,Cis_Counts,Trans_Counts,A_to_B_Counts,C_to_D_Counts,A_to_D_Counts,C_to_B_Counts,Percent_Cis,Percent_Trans,Percent_A_to_B,Percent_C_to_D,Percent_A_to_D,Percent_C_to_B
6,0,1,DSB1,INTACT,861130.9065237285,861130.9065237285,0,861130.9065237285,0,0,0,100,0,100,0,0,0
6,0,1,DSB1,SSA,436159.94919786096,436159.94919786096,0,436159.94919786096,0,0,0,100,0,100,0,0,0
6,0,1,DSB2,INTACT,1055835.7272727273,1055835.7272727273,0,0,1055835.7272727273,0,0,100,0,0,100,0,0
6,0,1,DSB2,SSA,14055,14055,0,0,14055,0,0,100,0,0,100,0,0
6,0,1,TRANS,INTACT,4615.677419354838,0,4615.677419354838,0,0,2788.6774193548385,1826.9999999999998,0,100,0,0,60.417511147142285,39.58248885285772
6,0,1,TRANS,SSA,3816.666666666667,0,3816.666666666667,0,0,1623.3333333333335,2193.3333333333335,0,100,0,0,42.532751091703055,57.46724890829694
6,180,1,DSB1,INTACT,672417.6205755029,672417.6205755029,0,672417.6205755029,0,0,0,99.99999999999999,0,99.99999999999999,0,0,0
6,180,1,DSB1,SSA,432803.5594692295,432803.5594692295,0,432803.5594692295,0,0,0,100,0,100,0,0,0
6,180,1,DSB2,INTACT,1417636.5,1417636.5,0,0,1417636.5,0,0,100,0,0,100,0,0
6,180,1,DSB2,SSA,1055663,1055663,0,0,1055663,0,0,100,0,0,100,0,0
6,180,1,TRANS,INTACT,44753.44444444445,0,44753.44444444445,0,0,29283.55555555556,15469.88888888889,0,100,0,0,65.43307653538771,34.56692346461228
6,180,1,TRANS,SSA,109537.05882352941,0,109537.05882352941,0,0,78682.94117647059,30854.117647058825,0,100,0,0,71.8322566093667,28.16774339063331
8,0,1,DSB1,INTACT,351795.37878787884,351795.37878787884,0,351795.37878787884,0,0,0,100,0,100,0,0,0
8,0,1,DSB1,SSA,467528.95061728393,467528.95061728393,0,467528.95061728393,0,0,0,100,0,100,0,0,0
8,0,1,DSB2,INTACT,833872.7999999999,833872.7999999999,0,0,833872.7999999999,0,0,100.00000000000001,0,0,100.00000000000001,0,0
8,0,1,DSB2,SSA,4829,4829,0,0,4829,0,0,100,0,0,100,0,0
8,0,1,TRANS,INTACT,3371.25,0,3371.25,0,0,1856,1515.25,0,100,0,0,55.053763440860216,44.946236559139784
8,0,1,TRANS,SSA,164,0,164,0,0,69,95,0,100,0,0,42.073170731707314,57.926829268292686
8,180,1,DSB1,INTACT,270087.2738998482,270087.2738998482,0,270087.2738998482,0,0,0,100,0,100,0,0,0
8,180,1,DSB1,SSA,511154.8602401956,511154.8602401956,0,511154.8602401956,0,0,0,100,0,100,0,0,0
8,180,1,DSB2,INTACT,697617.3333333333,697617.3333333333,0,0,697617.3333333333,0,0,100,0,0,100,0,0
8,180,1,DSB2,SSA,1123043,1123043,0,0,1123043,0,0,100,0,0,100,0,0
8,180,1,TRANS,INTACT,18876.1,0,18876.1,0,0,13636.379999999997,5239.719999999999,0,100,0,0,72.24151175295744,27.758488247042557
8,180,1,TRANS,SSA,217808,0,217808,0,0,147900,69908,0,100,0,0,67.90384191581576,32.09615808418424
