chromosome,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,XIV,XV,XVI
I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
III,0,0,0,0.17243350735719964,0,0,0.27076327822973706,0,0,0,0,0.11876773247927315,0,0,0.11158840468914231,0
IV,0,0,0.17243350735719964,0,0,0,0.3051178303921901,0,0,0,0,0.13383702949529422,0,0,0.125746785746877,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VII,0,0,0.27076327822973706,0.3051178303921901,0,0,0,0,0,0,0,0.21015725661490936,0,0,0.19745357185797102,0
VIII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XII,0,0,0.11876773247927315,0.13383702949529422,0,0,0.21015725661490936,0,0,0,0,0,0,0,0.08661112818853764,0
XIII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XV,0,0,0.11158840468914231,0.125746785746877,0,0,0.19745357185797102,0,0,0,0,0.08661112818853764,0,0,0,0
XVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
