,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,XIV,XV,XVI
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III,0.0,0.0,0.23511079193646847,0.25007972880936463,0.0,0.0,0.19506919188283914,0.0,0.0,0.0,0.0,0.21501290586602625,0.0,0.0,0.18169011359821738,0.0
IV,0.0,0.0,0.25007972880936463,0.26600170177753835,0.0,0.0,0.20748877668832996,0.0,0.0,0.0,0.0,0.2287022588228068,0.0,0.0,0.19325788476890854,0.0
V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VII,0.0,0.0,0.19506919188283914,0.20748877668832996,0.0,0.0,0.16184705648095601,0.0,0.0,0.0,0.0,0.17839416662336943,0.0,0.0,0.15074656225173477,0.0
VIII,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XII,0.0,0.0,0.21501290586602625,0.2287022588228068,0.0,0.0,0.17839416662336943,0.0,0.0,0.0,0.0,0.19663303971790907,0.0,0.0,0.16615876698011145,0.0
XIII,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XV,0.0,0.0,0.18169011359821738,0.19325788476890854,0.0,0.0,0.15074656225173477,0.0,0.0,0.0,0.0,0.16615876698011145,0.0,0.0,0.14040741008712793,0.0
XVI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
